Components,Description,Link,Unit Price ($),Quantity,Total ($)
ESP32S3 XIAO,Microcontroller,https://www.lazada.com.my/products/seeed-studio-xiao-esp32-c3c6s3-optional-mini-development-board-module-24ghz-wifible-50for-arduino-iot-intelligent-system-i4743674008-s26682791137.html?,$13.73,1,$13.73
1.8Inch TFT Touch Screen display ,UI display,https://shopee.com.my/product/299149454/21474104300?d_id=fa282&uls_trackid=55ul17kv02bl&utm_content=vDeoA5Po7nU42koGrubirW2ehH9,$2.57,1,$2.57
Perfboard wires ,Connect the circuit,https://www.lazada.com.my//products/i3898574832-s22557322350.html?spm=a2o42.cart.0.0.22c449fbo2y2n2&urlFlag=true,$1.48,1,$1.48
Pin Header Female (1x40),Solder to PCB,https://www.lazada.com.my//products/i4663837363-s26181719273.html?spm=a2o42.cart.0.0.694349fbTLnR5Y&urlFlag=true&tradePath=%2CcartPriceDrop%2Ccart,$0.20,1,$0.20
Pin Header Male (1x40),Connect Extentions to socket,https://www.lazada.com.my//products/i421963311-s614288662.html?spm=a2o42.cart.0.0.205e49fbD9sufk&urlFlag=true,$0.12,6,$0.72
Magnets (10 pcs),Locking in the Extentions and closers,https://www.lazada.com.my//products/i793744936-s1839704356.html?spm=a2o42.cart.0.0.54d049fbRQUpaw&urlFlag=true,$1.20,1,$1.20
DS3231 RTC module,Track local time offline,https://www.lazada.com.my//products/i131084606-s146041975.html?urlFlag=true&tradePath=%2CcartPriceDrop%2Ccart,$2.21,1,$2.21
Lipo Battery 3.7v ,Suply Power,https://www.lazada.com.my//products/i4813443032-s27233939882.html?urlFlag=true&tradePath=%2CcartPriceDrop%2Ccart,$1.03,1,$1.03
Velcro Patch,Tape Block onto Strap,https://www.lazada.com.my/products/pdp-i4130125160-s23389544188.html?c=&channelLpJumpArgs=&clickTrackInfo=query%253Avelcro%252Bstciker%253Bnid%253A4130125160%253Bsrc%253ALazadaMainSrp%253Brn%253A6d1474a5466b241ad66f479c9ae7ace3%253Bregion%253Amy%253Bsku%253A4130125160_MY%253Bprice%253A4.99%253Bclient%253Adesktop%253Bsupplier_id%253A300312704456%253Bsession_id%253A%253Bbiz_source%253Ah5_internal%253Bslot%253A39%253Butlog_bucket_id%253A470687%253Basc_category_id%253A10001162%253Bitem_id%253A4130125160%253Bsku_id%253A23389544188%253Bshop_id%253A2796484%253BtemplateInfo%253A107880_E%2523-1_A3_C%2523&freeshipping=1&fs_ab=2&fuse_fs=&lang=en&location=Penang&price=4.99&priceCompare=skuId%3A23389544188%3Bsource%3Alazada-search-voucher%3Bsn%3A6d1474a5466b241ad66f479c9ae7ace3%3BoriginPrice%3A499%3BdisplayPrice%3A499%3BisGray%3Afalse%3BsinglePromotionId%3A-1%3BsingleToolCode%3AmockedSalePrice%3BvoucherPricePlugin%3A0%3Btimestamp%3A1781960504662&ratingscore=5.0&request_id=6d1474a5466b241ad66f479c9ae7ace3&review=12&sale=27&search=1&source=search&spm=a2o4k.searchlist.list.39&stock=1,$1.15,1,$1.15
Velcro Strap,Suply Power,https://www.lazada.com.my/products/pdp-i3184137208-s16130842727.html?c=&channelLpJumpArgs=&clickTrackInfo=query%253Abelcro%252Bstrap%253Bnid%253A3184137208%253Bsrc%253ALazadaMainSrp%253Brn%253Ab88ca2d839df2025a5495ef03186de19%253Bregion%253Amy%253Bsku%253A3184137208_MY%253Bprice%253A14.67%253Bclient%253Adesktop%253Bsupplier_id%253A300176451983%253Bsession_id%253A%253Bbiz_source%253Ah5_internal%253Bslot%253A0%253Butlog_bucket_id%253A470687%253Basc_category_id%253A10100372%253Bitem_id%253A3184137208%253Bsku_id%253A16130842727%253Bshop_id%253A2323234%253BtemplateInfo%253A107880_E%2523-1_A3_C%2523&freeshipping=1&fs_ab=2&fuse_fs=&lang=en&location=China&price=14.67&priceCompare=skuId%3A16130842727%3Bsource%3Alazada-search-voucher%3Bsn%3Ab88ca2d839df2025a5495ef03186de19%3BoriginPrice%3A1467%3BdisplayPrice%3A1467%3BisGray%3Afalse%3BsinglePromotionId%3A-1%3BsingleToolCode%3AmockedSalePrice%3BvoucherPricePlugin%3A0%3Btimestamp%3A1781960630449&ratingscore=5.0&request_id=b88ca2d839df2025a5495ef03186de19&review=8&sale=20&search=1&source=search&spm=a2o4k.searchlist.list.0&stock=1,$3.01,1,$3.01
,,,,,
,,,,,
EXTENTIONS,,,,,
SPEAKER,,,,,
4 ohm speaker,Playing Sound,https://www.lazada.com.my//products/i4151232045-s23547423704.html?spm=a2o42.cart.0.0.22c449fbwiFS6y&urlFlag=true,$3.63,1,$3.63
ROCKET LAUNCHER 3000,,,,,
